user_input,reference_outputs,reference,synthesizer_name
"안녕하세요, 벡스코가 부산 지하철 시스템에서 에스컬레이터 유지보수를 위한 전용 장소 중 하나인지 알려주실 수 있나요?","['총 42개소\n\n전용: 벡스코(시립미술관), 민락, 금련산, 문현, 냉정, 증산, 남양산\n\n겸용: 장산, 중동, 해운대, 동백, 센텀시티, 수영(2), 광안, 남천, 경성대·부경대, 대연, 못골, 지게골, 국제금융센터·부산은행, 전포, 부암, 가야, 동의대, 개금, 주례, 감전, 사상(2), 덕포, 모덕, 모라, 구남, 구명, 덕천(2), 수정, 화명, 율리, 동원, 금곡, 호포, 양산\n\n3호선\n\n총 14개소\n\n전용: 망미, 배산, 물만골, 거제(3), 종합운동장, 사직, 미남(3), 남산정, 구포\n\n겸용: 만덕, 숙등, 강서구청, 체육공원, 대저(3)\n\n4호선\n\n총 13개소\n\n전용: 동래(4), 수안, 낙민, 충렬사, 명장, 서동, 반여농산물시장, 석대, 영산대, 윗반송, 고촌, 안평\n\n겸용: 금사']","네, 벡스코(시립미술관)는 부산 지하철 시스템에서 에스컬레이터 유지보수를 위한 전용 장소로 목록에 올라 있습니다.",single_hop_specifc_query_synthesizer
현재 구역 분류에 따른 수영 지역의 부산시 주차 요금,"['1급지: 시간제 주차 500원 (10분마다), 1일 주차 15,000원, 월 주차 주간 160,000원, 야간 80,000원\n\n2급지: 시간제 주차 300원, 1일 주차 8,000원, 월 주차 주간 90,000원, 야간 70,000원\n\n3급지: 시간제 주차 200원, 1일 주차 4,700원, 월 주차 주간 50,000원, 야간 40,000원\n\n4급지: 시간제 주차 100원, 1일 주차 2,400원, 월 주차 주간 30,000원, 야간 22,000원\n\n2급지에는 수영, 전포(내부), 호포(양산시 급지 적용)가 포함됩니다. 3급지에는 다대포해수욕장, 신평, 안평, 대저(내·외부), 체육공원(1·2층), 강서구청(내·외부)가 포함됩니다.']","부산에서 수영은 주차 요금에 대한 2급지 구역 분류에 해당합니다. 이 구역의 요금은 다음과 같습니다: 시간제 주차는 300원 (10분당), 1일 주차는 8,000원, 월 주차 주간은 90,000원, 야간 주차는 70,000원입니다.",single_hop_specifc_query_synthesizer
동매역 1호선에서 지정된 만남의 장소 수에 대한 정보를 제공해 주실 수 있나요?,"['1호선 만남의 장소\n\n1호선 각 역의 만남의 장소 수량은 다음과 같습니다: - 다대포해수욕장, 다대포항, 낫개, 신장림, 장림, 동매, 신평, 하단, 당리, 사하, 괴정, 대티, 서대신, 동대신, 토성, 자갈치, 남포, 중앙, 부산, 초량, 부산진, 좌천, 범일, 범내골, 부전, 양정, 시청, 연산(1), 교대(1), 동래(1), 명륜, 온천장, 부산대, 장전, 구서, 남산, 범어사, 노포: 각 1개 - 두실: 2개 - 서면(1): 0개\n\n2호선 만남의 장소']",동매역 1호선에서는 기본적으로 1개의 지정된 만남의 장소가 있습니다.,single_hop_specifc_query_synthesizer
부산시 교통 담당자로서 부산경찰청 범죄예방대응과의 순찰 업무에서 미남의 역할을 설명해 주실 수 있나요?,"['현황\n\n부산경찰청 범죄예방대응과 기동순찰대는 경찰관 16명으로 구성되어 있으며, 서면역을 중심으로 6개 출장소에서 거점 및 유동 근무를 실시하고 있습니다. 연락처는 051-899-3046입니다.\n\n시간대별 근무\n\n출·퇴근시간대 집중순찰 (08:00 ~ 19:00): 주요 환승역 승강장에서 유동순찰 및 거점근무를 실시합니다. 주요 근무 장소는 서면, 연산, 수영, 미남입니다.\n\n권역별 거점근무 (출·퇴근시간대 외): 6개 권역에서 가시적 순찰활동을 실시합니다.\n\n1권역: 서면~호포\n\n2권역: 서면~장산\n\n3권역: 노포~연산\n\n4권역: 부산역~다대포\n\n5권역: 안평~대저\n\n6권역: 수영~미남']","미남은 부산경찰청 범죄예방대응과의 순찰 업무에서 중요한 장소 중 하나로, 주요 환승역에서 출·퇴근 시간대인 08:00부터 19:00까지 유동 순찰 및 거점 근무가 이루어지는 주요 지점입니다. 또한, 미남은 6권역에 속하며, 수영에서 미남까지의 지역에서 출·퇴근 시간대 외에도 가시적 순찰 활동이 진행됩니다.",single_hop_specifc_query_synthesizer
부산 지하철의 시설 관리자として、홈페이지 시스템의 회원 등록 과정에서 휴대폰번호의 역할을 설명해 주실 수 있나요?,"['약관은 홈페이지에 게시하거나 공지하여 효력을 발생합니다.\n\n변경된 약관은 공지 후 효력을 발생하며, 동의하지 않으면 회원등록을 취소할 수 있습니다.\n\n제6조 【이용신청의 승낙】\n\n실명이 아닌 경우, 타인 명의 사용, 허위 기재 시 이용을 승낙하지 않을 수 있습니다.\n\n제7조【서비스의 변경, 중지】\n\n서비스 중단 시 사전 고지기간은 1개월입니다.\n\n약관 위배 시 서비스 사용을 중지할 수 있습니다.\n\n제10조【개인정보보호정책】\n\n회원정보는 서비스 제공 목적으로 이용되며, 본인의 승낙 없이 제3자에게 누설하지 않습니다.\n\n개인정보 수집·이용안내\n\n목적: 홈페이지 시스템 운영 및 회원 관리\n\n수집항목: 필수 - 이름, 휴대폰번호, 이메일주소; 선택 - 주소, 전화번호\n\n보유기간: 2년']",홈페이지 시스템의 회원 등록 과정에서 휴대폰번호는 시스템 운영 및 회원 관리를 위한 필수 항목입니다.,single_hop_specifc_query_synthesizer
"안녕하세요, 누군가 부산 지하철에 접이식 자전거를 주중 언제든지 가져갈 수 있는지 아니면 특정 요일에 대한 제한이 있는지 알려줄 수 있나요?","['메트로페이 충전 및 정기승차권 구매 가능하며, 도시철도만 이용할 수 있습니다.\n\n모바일 승차권 충전 및 환불\n\n자동발매기에서 QR코드를 인식시켜 충전 및 환불 가능합니다.\n\n메트로페이 환불 시 수수료가 있으며, 정기승차권은 사용하지 않은 경우에 한해 환불 가능합니다.\n\n게이트 통과\n\nQR승차권, 교통카드, 모바일승차권을 이용해 게이트를 통과할 수 있습니다.\n\n목적지에서 내린 후 승차권을 다시 인식시켜야 합니다.\n\n탑승 방법\n\n열차 대기 시 출입문 양쪽에 줄을 서고, 승객이 하차한 후 탑승합니다.\n\n자전거 탑승\n\n휴일이나 주말에만 자전거를 가지고 탑승할 수 있으며, 접이식 자전거는 모든 요일에 가능합니다.']","네, 부산 지하철에 접이식 자전거는 주중 언제든지 가져갈 수 있습니다. 지하철 규정에 따르면, 접이식 자전거는 매일 허용되며, 일반 자전거는 휴일과 주말에만 허용됩니다.",single_hop_specifc_query_synthesizer
"안녕하세요, 만덕이 3호선에 있는지 알려줄 수 있나요? 잘 모르겠어요.","['3호선\n\n총 25개\n\n주요 역: 망미, 배산, 물만골, 연산(3), 거제(3), 종합운동장, 사직, 미남(3), 만덕, 남산정, 숙등, 덕천(3), 구포, 강서구청, 체육공원\n\n4호선\n\n없음']","네, 만덕은 3호선에 있습니다. 해당 노선의 주요 역 중 하나입니다.",single_hop_specifc_query_synthesizer
"부산 지하철의 인프라 비용을 평가하는 재무 분석가로서, 4호선에 설치된 에스컬레이터 수에 대한 자세한 정보를 제공해 주실 수 있나요? 이 수치는 시스템의 다른 호선과 어떻게 비교되나요?",['부산 도시철도 에스컬레이터는 총 652대가 운영 중입니다. 각 호선별 에스컬레이터 수는 다음과 같습니다:\n\n1호선: 141대\n\n2호선: 206대\n\n3호선: 174대\n\n4호선: 131대\n\n각 역별 에스컬레이터 수는 다음과 같습니다:\n\n1호선\n\n다대포해수욕장: 13대\n\n다대포항: 21대\n\n낫개: 13대\n\n신장림: 12대\n\n장림: 14대\n\n동매: 12대\n\n하단: 2대\n\n괴정: 2대\n\n대티: 3대\n\n서대신: 7대\n\n자갈치: 6대\n\n남포: 7대\n\n중앙: 2대\n\n부산: 6대\n\n범내골: 2대\n\n서면(1): 10대\n\n연산(1): 4대\n\n교대(1): 1대\n\n동래(1): 2대\n\n범어사: 1대\n\n노포: 1대\n\n2호선\n\n벡스코(시립미술관): 2대\n\n센텀시티: 14대\n\n민락: 8대\n\n수영(2): 6대\n\n광안: 8대\n\n금련산: 8대\n\n남천: 8대\n\n경성대·부경대: 8대\n\n대연: 8대\n\n못골: 8대\n\n지게골: 8대\n\n문현: 8대\n\n국제금융센터·부산은행: 4대'],"4호선에는 부산 지하철 시스템에 131대의 에스컬레이터가 설치되어 있습니다. 비교하자면, 1호선에는 141대, 2호선에는 206대, 3호선에는 174대의 에스컬레이터가 있습니다. 따라서 4호선은 네 개의 호선 중 가장 적은 수의 에스컬레이터를 보유하고 있습니다.",single_hop_specifc_query_synthesizer
부산 지하철 시설 관리자입니다. 지하철역에서 비상 상황 발생 시 NIS국가정보원 연락처를 제공해 주실 수 있나요?,"['안전핀을 뽑는다.\n\n호스를 불이 난 곳을 향하게 한다.\n\n손잡이를 움켜쥐고 불길 주위에서부터 약재를 뿌린다.\n\n출입문 비상열림장치 사용법\n\n1, 2호선: 비상열림장치 덮개를 밀고 비상콕크 손잡이를 당긴 후 출입문을 양쪽으로 연다.\n\n3, 4호선: 비상열림장치 덮개를 열고 손잡이를 돌려 출입문을 연다.\n\n대피 요령\n\n터널 내 정차 시: 운전실을 통해 선로로 내려가 인근 역으로 대피\n\n역사 내 화재 시: 가까운 계단을 통해 대피\n\n에스컬레이터 이용 방법\n\n걷거나 뛰지 않고 제자리에 서서 손잡이를 잡고 두 줄로 서기\n\n비상상황 시 비상정지버튼을 눌러 정지\n\n신고 및 연락처\n\nNIS국가정보원: ☎111\n\n부산광역시 소방안전본부: ☎119\n\n부산지방경찰청: ☎112\n\n부산교통공사: ☎1544-5005']",NIS국가정보원의 연락처는 ☎111입니다.,single_hop_specifc_query_synthesizer
"공공 교통 기관을 위한 인프라 투자 평가를 담당하는 재무 분석가로서, 중앙역의 자동 사진기 설치 현황에 대한 자세한 정보를 제공해 주실 수 있나요? 해당 노선과 설치된 대수도 포함해서요.",['자동사진기 설치 현황\n\n1호선\n\n하단: 1대\n\n괴정: 1대\n\n자갈치: 1대\n\n남포: 1대\n\n중앙: 1대\n\n부산: 1대\n\n범일: 1대\n\n범내골: 1대\n\n서면(1): 1대\n\n부전: 1대\n\n양정: 1대\n\n시청: 1대\n\n연산(1): 1대\n\n동래(1): 1대\n\n부산대: 1대\n\n2호선\n\n장산: 1대\n\n센텀시티: 1대\n\n수영(2): 1대\n\n경성대·부경대: 1대\n\n대연: 1대\n\n서면(2): 1대\n\n사상(2): 1대\n\n덕천(2): 1대\n\n화명: 1대\n\n3호선\n\n설치 없음\n\n4호선\n\n설치 없음'],"중앙역은 1호선에 위치하며, 1대의 자동 사진기가 설치되어 있습니다.",single_hop_specifc_query_synthesizer
